product,md_one,md_two,md_three,md_four,md_five,new_srp
0412898-9A,2000,0,0,0,,0
0412899-9,2000,0,0,0,,0
0412902-9,1500,1500,0,0,,0
0413070-11,2000,2000,0,0,,2999.75
0413071-11,2000,1499.88,0,0,,2999.75
0413-1,0,0,0,0,,200
0413165-6,0,0,0,0,,0
0413169-6,0,0,0,0,,0
0413170-6,0,0,0,0,,0
0413171-6,0,0,0,0,,0
0413173-6,0,0,0,0,,0
0413179-4,0,0,0,0,,0
0413180-4,0,600,0,0,,0
0413181-4,0,600,0,0,,0
0413182-4,0,0,0,0,,0
0413229-10,0,0,0,0,,0
0413323-8,0,0,0,0,,0
0414-1,0,0,0,0,,550
0414132-4,0,0,0,0,,0
0414133-4,0,0,0,0,,0
0414134-4,0,0,0,0,,0
0414135-4,0,0,0,0,,0
0414149-6NS,0,0,0,0,,1799.75
0414153-6NS,1000,0,0,0,,0
0414162-9,2400,2400,0,0,,0
0414163-9,2400,2400,0,0,,0
0414164-9,2400,2400,0,0,,0
0414167-4,2400,0,0,0,,2999.75
0414168-4,2400,2000,1800,0,,2999.75
0414274-7,2800,2000,2000,2000,,0
0414275-7,2800,2000,2000,0,,0
0414276-7,2800,2000,2000,2000,,0
0414277-7,0,0,0,0,,3299.75
0414278-7,2500,0,0,0,,3299.75
0414279-7,2400,0,0,0,,3299.75
0414288-7,1500,0,0,0,,0
0415-1,0,0,0,0,,600
0416-1,0,0,0,0,,0
0417-1BK,0,0,0,0,,0
0417-1CBK,0,0,0,0,,0
0417-1CG,0,0,0,0,,0
0417-1CL,0,0,0,0,,0
0417-1WH,0,0,0,0,,0
041749-4,0,0,0,0,,0
041752-2,0,0,0,0,,0
041753-1,0,0,0,0,,0
0418-1,0,0,0,0,,0
0418-1CBK,0,0,0,0,,0
0418-1CL,0,0,0,0,,0
0418-1G,0,0,0,0,,0
0419-1,0,0,0,0,,0
0420-1,0,0,0,0,,0
0421-1,0,0,0,0,,0
0421139-6,0,0,0,0,,0
0421140-6,0,0,0,0,,0
0421141-6,0,0,0,0,,0
0421251-6,1400,0,0,0,,0
